Categories,Descriptions,Duration,Instructor_full,Level,Link,Name,NumEnrolled,NumReviews,Price,Provider_full,Stars,InstructorName,ProviderName,MasterCategories,Modules,ReviewsURL,Skills,Source,string,Keywords
Business & Management,"This course presents you with frameworks, theories and skills to support you in the transition from colleague and friend, to leader and manager. It is very common to move from an existing team into a management position, but making that leap is often under-supported. Through this course you will gain an understanding of the behaviours that are common in leaders, as well as the behaviours to curb during your transition into leadership. Topics such as emotional intelligence, authenticity and interpersonal communication will help you cultivate confidence.,Being a good leader does not preclude being friends with your reports, it does however require you to be mindful of your relationships and acting in a way that promotes success within your team.",,"{'instructor_link': None, 'instructor_name': None}",Beginner,https://www.futurelearn.com/courses/friend-to-leader,Transitioning From Friend To Leader,"14,745",132.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/unisq',
 'provider_name': 'University of Southern Queensland'}",4.9,,University of Southern Queensland,Business & Management,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Summarise,Communicate,Understand,Feedback]",Futurelearn,"transition from Friend to Leader this course present you with framework , theory and skill to support you in the transition from colleague and friend , to leader and manager . it be very common to move from an exist team into a management position , but make that leap be often under - support . through this course you will gain an understanding of the behaviour that be common in leader , as well as the behaviour to curb during your transition into leadership . topic such as emotional intelligence , authenticity and interpersonal communication will help you cultivate confidence . ,bee a good leader do not preclude be friend with your report , it do however require you to be mindful of your relationship and act in a way that promote success within your team .","leadership, relationship, report, friend, mindful, require, framework, gain, curb, leap, Business & Management, Business & Management, [Summarise,Communicate,Understand,Feedback]"
Business & Management,"On this seven-week course, you’ll be introduced to scaling in an Agile environment to help you bring Agile methods to different teams within your organisation.,Scaling Agile creates a collaborative approach across teams to work more efficiently toward the same company goal.,You’ll learn how to identify and discuss scaling challenges in an organisation before understanding how to strategise ways to address and overcome these challenges.,Building on your knowledge of Agile frameworks, you’ll explore specific scaling frameworks such as Scrum@Scale, DaD, SAFe, LeSS, and Nexus.,You’ll compare and contrast these frameworks and methodologies before gaining hands-on experience as you learn how to apply them.,Using real-world examples, you’ll gain insights into best practices and lessons learned when applying a scaling framework.,With this knowledge, you’ll be able to explore the role of managers and scaling coaches in a scaled Agile environment.,Finally, you’ll learn the strategies you can use to advocate for the use of scaling Agile practices in your organisation.,Guided by a collection of industry experts, you’ll create scaling Agile journals with resources and plans for future use.",21.0,"{'instructor_link': '/profiles/18565066', 'instructor_name': 'Lori Garcia'}",Beginner,https://www.futurelearn.com/courses/scaling-agile-sc,Scaled Agile,307,40.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/irvine',
 'provider_name': 'University of California, Irvine'}",4.9,Lori Garcia,"University of California, Irvine",Business & Management,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Compare,Identify,Recognize,Advocate,Stance,Resources]",Futurelearn,"scale Agile on this seven - week course , you ’ll be introduce to scale in an agile environment to help you bring agile method to different team within your organisation . ,Scaling Agile create a collaborative approach across team to work more efficiently toward the same company goal . ,You’ll learn how to identify and discuss scale challenge in an organisation before understand how to strategise way to address and overcome these challenge . ,Building on your knowledge of agile framework , you ’ll explore specific scale framework such as scrum@scale , DaD , SAFe , les , and Nexus . ,You’ll compare and contrast these framework and methodology before gain hand - on experience as you learn how to apply they . ,Using real - world example , you ’ll gain insight into good practice and lesson learn when apply a scaling framework . ,With this knowledge , you ’ll be able to explore the role of manager and scale coach in a scale Agile environment . ,finally , you ’ll learn the strategy you can use to advocate for the use of scale agile practice in your organisation . ,guide by a collection of industry expert , you ’ll create scale agile journal with resource and plan for future use .","agile, scale, lesson, explore, nexus, journal, coach, week, introduce, safe, Business & Management, Business & Management, [Compare,Identify,Recognize,Advocate,Stance,Resources]"
Big Data & Analytics ,"Test automation allows developers to execute tests and analyse data quickly and efficiently.,On this course, you’ll delve into using Selenium WebDriver to script automated tests using Python as your main scripting language.,As one of the most popular OOP languages in the QA industry, understanding Python is vital for jumpstarting your career in software testing.,Before getting started with Selenium WebDriver, you’ll ensure your knowledge of Python is up to scratch. You’ll be guided through the very basics, exploring data types and variables, program flow control, and classes and objects.,This knowledge will allow you to begin writing test scripts in Selenium, as well as giving you basic programming skills to use in further coding projects.,Using your knowledge of Python processes, you’ll move on to setting up your Selenium Python package, ready to dive into writing your first test scripts.,You’ll be guided through basic web driver methods and learn techniques to automate web elements. With access to a host of practice projects, you’ll be able to check your understanding of different elements and their real-world applications.,Functional testing ensures the reliability, quality, and performance of a web application before it is released.,With a variety of examples, you’ll learn how to implement automated functional testing using Python, equipping you to deliver products at a faster rate without compromising on quality.,You’ll finish this course by completing an end-to-end practice project, demonstrating the skills you’ve developed and giving you experience of test automation in action.",,"{'instructor_link': None, 'instructor_name': None}",,https://www.futurelearn.com/courses/introduction-to-automated-testing-solutions-using-python-and-selenium-webdriver,Introduction to Automated Testing Solutions using Python and Selenium WebDriver,,11.0,84,"{'provider_link': 'https://www.futurelearn.com/partners/packt',
 'provider_name': 'Packt'}",4.9,,Packt,Data Science,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Discuss,Flow,Object-oriented,Exception,Locator,Automation,Synchronisation,Functional,Miscellaneous,Testing]",Futurelearn,"introduction to Automated Testing Solutions use Python and Selenium WebDriver test automation allow developer to execute test and analyse datum quickly and efficiently . ,On this course , you ’ll delve into use Selenium WebDriver to script automate test use Python as your main scripting language . ,As one of the most popular OOP language in the QA industry , understand Python be vital for jumpstart your career in software testing . ,Before getting start with Selenium WebDriver , you ’ll ensure your knowledge of Python be up to scratch . you ’ll be guide through the very basic , explore datum type and variable , program flow control , and class and object . ,This knowledge will allow you to begin write test script in Selenium , as well as give you basic programming skill to use in further code project . ,use your knowledge of Python process , you ’ll move on to set up your selenium Python package , ready to dive into write your first test script . ,You’ll be guide through basic web driver method and learn technique to automate web element . with access to a host of practice project , you ’ll be able to check your understanding of different element and their real - world application . ,Functional testing ensure the reliability , quality , and performance of a web application before it be release . ,With a variety of example , you ’ll learn how to implement automate functional testing use Python , equip you to deliver product at a fast rate without compromise on quality . ,You’ll finish this course by complete an end - to - end practice project , demonstrate the skill you ’ve develop and give you experience of test automation in action .","webdriver, automated, datum, jumpstart, ready, variable, practice, oop, reliability, end, Data Science, Big Data & Analytics , [Discuss,Flow,Object-oriented,Exception,Locator,Automation,Synchronisation,Functional,Miscellaneous,Testing]"
Psychology & Mental Health,"Domestic abuse is often understood as physical or verbal abuse but there are also subtle forms of abuse, including coercive control.,This two-week course from Central Queensland University will help you understand coercive control as a pattern of behaviour that makes you feel controlled, isolated, scared, or dependent.,By the end, you’ll be able to identify and describe the facets of coercive control and how to assess these control dynamics in practice.,As coercive control usually affects women, you’ll explore the role of gender norms and how society’s expectation of women contributes to coercive control.,With this knowledge, you’ll discover the importance of analysing coercive control as a construct as you uncover the wider issues relating to intimate partner violence.,Throughout the course, you’ll explore models such as social entrapment, double standards, and hegemonic masculinity.,This will help you gain a conceptual understanding of coercive control as you start to explore frameworks and strategies for working with both victims and perpetrators.,Through exploring coercive control in action, you’ll be able to define the patterns of behaviour related to coercive control. With this understanding, you’ll discover techniques for working with men who use coercive control.,By the end of the course, you’ll have the skills and knowledge to improve your risk assessment and screening questions to better reflect the lived experience of victims of intimate partner violence.",,"{'instructor_link': '/profiles/19047648', 'instructor_name': 'Mark Walters'}",Beginner,https://www.futurelearn.com/courses/understanding-coercive-control,Understanding Coercive Control,"2,290",40.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/cqu',
 'provider_name': 'Central Queensland University'}",4.0,Mark Walters,Central Queensland University,Health & Safety,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Framework,Conceptual,Facet,Strategy]",Futurelearn,"understand Coercive Control Domestic abuse be often understand as physical or verbal abuse but there be also subtle form of abuse , include coercive control . ,This two - week course from Central Queensland University will help you understand coercive control as a pattern of behaviour that make you feel control , isolated , scared , or dependent . ,By the end , you ’ll be able to identify and describe the facet of coercive control and how to assess these control dynamic in practice . ,As coercive control usually affect woman , you ’ll explore the role of gender norm and how society ’s expectation of woman contribute to coercive control . ,With this knowledge , you ’ll discover the importance of analyse coercive control as a construct as you uncover the wide issue relate to intimate partner violence . ,Throughout the course , you ’ll explore model such as social entrapment , double standard , and hegemonic masculinity . ,This will help you gain a conceptual understanding of coercive control as you start to explore framework and strategy for work with both victim and perpetrator . ,Through explore coercive control in action , you ’ll be able to define the pattern of behaviour relate to coercive control . with this understanding , you ’ll discover technique for work with man who use coercive control . ,By the end of the course , you ’ll have the skill and knowledge to improve your risk assessment and screen question to well reflect the live experience of victim of intimate partner violence .","coercive, masculinity, entrapment, woman, analyse, hegemonic, queensland, define, use, expectation, Health & Safety, Psychology & Mental Health, [Framework,Conceptual,Facet,Strategy]"
Big Data & Analytics ,"Git Version Control Systems (VCS) changes your approach to modern software engineering. Using Git, you can easily track the history of file and code changes, deliver new versions of software without relying on any continuous delivery mechanisms, and protect your code from any mistakes made while programming.,On this one-week course, you’ll learn how to use Git and the common commands that you’ll need in your workflow as a software engineer.,You’ll understand how to install Git and use your computer’s terminal or command line to navigate the file system, before learning how to create and edit files.,You’ll unpack Git’s branching workflow to understand why it’s such a useful feature, and how to use it in your projects.,With this knowledge, you’ll be able to move onto more advanced Git workflow techniques that will make you a valued contributor and collaborator on any project.,You’ll be able to create your own Git repositories, or clone and contribute to existing ones. This will allow you to track the changes to sets of files over time, recover data you might lose, and collaborate with others on projects.,You’ll gain an understanding of version control, also known as source control.,With this knowledge, you’ll be able to easily track and manage changes to software code.,By the end of the course, you’ll be familiar with using Git to handle large projects easily and make well-crafted contributions to your own or others’ projects.,You’ll have a profound understanding of Git’s branching workflow, and how to use it in the best possible way in your projects.",,"{'instructor_link': None, 'instructor_name': None}",,https://www.futurelearn.com/courses/a-beginners-guide-to-vcs-and-git,A Beginner’s Guide to VCS and Git,,11.0,84,"{'provider_link': 'https://www.futurelearn.com/partners/packt',
 'provider_name': 'Packt'}",4.9,,Packt,Data Science,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Install,Investigate,Branching,Create]",Futurelearn,"a Beginner ’s guide to VCS and Git Git Version Control Systems ( VCS ) change your approach to modern software engineering . use Git , you can easily track the history of file and code change , deliver new version of software without rely on any continuous delivery mechanism , and protect your code from any mistake make while programming . ,On this one - week course , you ’ll learn how to use Git and the common command that you ’ll need in your workflow as a software engineer . ,You’ll understand how to install Git and use your computer ’s terminal or command line to navigate the file system , before learn how to create and edit file . ,You’ll unpack Git ’s branch workflow to understand why it ’ such a useful feature , and how to use it in your project . ,With this knowledge , you ’ll be able to move onto more advanced Git workflow technique that will make you a value contributor and collaborator on any project . ,You’ll be able to create your own Git repository , or clone and contribute to exist one . this will allow you to track the change to set of file over time , recover datum you might lose , and collaborate with other on project . ,You’ll gain an understanding of version control , also know as source control . ,With this knowledge , you ’ll be able to easily track and manage change to software code . ,By the end of the course , you ’ll be familiar with use Git to handle large project easily and make well - craft contribution to your own or other ’ project . ,You’ll have a profound understanding of Git ’s branch workflow , and how to use it in the good possible way in your project .","git, beginner, continuous, modern, value, navigate, week, know, allow, mechanism, Data Science, Big Data & Analytics , [Install,Investigate,Branching,Create]"
Big Data & Analytics ,"Cytology, or cellular biology, is the study of cells and gives us a fascinating insight into the basis of life itself.,On this two-week course, you’ll delve into the cellular structures of plants, animals, and humans, learning about the processes all living organisms must do to survive. You’ll gain an overview of cell anatomy and function, equipping you for further study in the health sciences.,You’ll be introduced to key terminology including prokaryotes and eukaryotes, identifying their features with examples.,You’ll also differentiate between plant and animal cells, exploring how growth in animals and plants occurs through different processes at a cellular level.,Organelles are specialised parts of a cell that perform unique jobs. You’ll learn about different organelle functions and how they help cells operate within the organism.,Building on your knowledge of multicellular organisms, you’ll investigate their hierarchical structures. You’ll identify the functions of different cells on a micro-level, and more broadly within tissues, organs, organ systems, and the body as a whole.,Cells need nutrients to survive, as well as being able to remove waste.,Using videos and quizzes, you’ll discover active and passive transport processes, including diffusion, osmosis, and exocytosis, learning how nutrients and waste are transferred across the cell membrane.,You’ll finish this course able to identify the types of cells found in living organisms and their key functions and processes. Using this knowledge, you’ll be able to kickstart your studies in health sciences and further your knowledge in cytology.",,"{'instructor_link': '/profiles/19117898', 'instructor_name': 'Andrea Shaw'}",,https://www.futurelearn.com/courses/introduction-to-human-cells-the-basis-of-life,The Basis of Life: Understanding Human Cells,,254.0,14,"{'provider_link': 'https://www.futurelearn.com/partners/whitireia-new-zealand',
 'provider_name': 'Whitireia New Zealand'}",4.7,Andrea Shaw,Whitireia New Zealand,Data Science,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Identify,Describe,Explain,Describe]",Futurelearn,"the Basis of Life : understand Human Cells Cytology , or cellular biology , be the study of cell and give we a fascinating insight into the basis of life itself . ,On this two - week course , you ’ll delve into the cellular structure of plant , animal , and human , learn about the process all live organism must do to survive . you ’ll gain an overview of cell anatomy and function , equip you for further study in the health sciences . ,You’ll be introduce to key terminology include prokaryote and eukaryote , identify their feature with example . ,You’ll also differentiate between plant and animal cell , explore how growth in animal and plant occur through different process at a cellular level . ,Organelles be specialise part of a cell that perform unique job . you ’ll learn about different organelle function and how they help cell operate within the organism . ,Building on your knowledge of multicellular organism , you ’ll investigate their hierarchical structure . you ’ll identify the function of different cell on a micro - level , and more broadly within tissue , organ , organ system , and the body as a whole . ,Cells need nutrient to survive , as well as be able to remove waste . ,Using video and quiz , you ’ll discover active and passive transport process , include diffusion , osmosis , and exocytosis , learn how nutrient and waste be transfer across the cell membrane . ,You’ll finish this course able to identify the type of cell find in live organism and their key function and process . use this knowledge , you ’ll be able to kickstart your study in health science and furth your knowledge in cytology .","biology, basis, survive, function, micro, diffusion, introduce, kickstart, equip, different, Data Science, Big Data & Analytics , [Identify,Describe,Explain,Describe]"
Business & Management,"Communication is embedded into every professional position. It’s the glue that holds teams together and is a skill that always appears on the top employee attributes.,On this four-week course, you’ll gain the communication skills to unlock your potential in the workplace.,You’ll explore how writing skills will help you succeed in your role and discover the techniques to improve the impact and credibility of your written communication. Next, you’ll learn how to translate these skills into oral communication to help you deliver effective presentations and speeches.,As you explore the importance of professional communication and the power of writing, you’ll understand how the framing of your ideas, grammar, and style can say more than the content itself.,With this knowledge, you’ll learn how to apply different structures according to the aim of the text and learn to write engaging and credible content.,To help develop your writing skills further, you’ll produce a written sample and learn how to edit your work.,You’ll explore grammar and the common mistakes that can undermine your authority as well as tone and style to ensure your written work is both engaging and informative.,With a sound understanding of effective writing techniques, you’ll learn how to transfer these skills to your speech.,You’ll examine different oral communication techniques and turn your written sample into an engaging presentation.,Learning from the experts at University of Southern Queensland, you’ll finish the course with the ability to communicate effectively, and with impact, in your workplace.",12.0,"{'instructor_link': None, 'instructor_name': None}",Open,https://www.futurelearn.com/courses/effective-communication-skills-for-professionals,Effective Communication Skills for Professionals,"3,776",26.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/unisq',
 'provider_name': 'University of Southern Queensland'}",4.8,,University of Southern Queensland,Business & Management,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Explain,Apply,Perform,Demonstrate,Create]",Futurelearn,"effective communication Skills for Professionals Communication be embed into every professional position . it ’ the glue that hold team together and be a skill that always appear on the top employee attribute . ,On this four - week course , you ’ll gain the communication skill to unlock your potential in the workplace . ,You’ll explore how writing skill will help you succeed in your role and discover the technique to improve the impact and credibility of your write communication . next , you ’ll learn how to translate these skill into oral communication to help you deliver effective presentation and speech . ,As you explore the importance of professional communication and the power of writing , you ’ll understand how the framing of your idea , grammar , and style can say more than the content itself . ,With this knowledge , you ’ll learn how to apply different structure accord to the aim of the text and learn to write engaging and credible content . ,To help develop your writing skill far , you ’ll produce a write sample and learn how to edit your work . ,You’ll explore grammar and the common mistake that can undermine your authority as well as tone and style to ensure your write work be both engaging and informative . ,With a sound understanding of effective writing technique , you ’ll learn how to transfer these skill to your speech . ,You’ll examine different oral communication technique and turn your write sample into an engaging presentation . ,learne from the expert at University of Southern Queensland , you ’ll finish the course with the ability to communicate effectively , and with impact , in your workplace .","writing, undermine, importance, transfer, ensure, aim, explore, produce, embed, different, Business & Management, Business & Management, [Explain,Apply,Perform,Demonstrate,Create]"
Nature & Environment,"Environmentalism and climate change issues are typically seen today through a purely scientific lens. While natural sciences play a critical role, the reason people disagree on the climate crisis is due to deeper ethical and moral differences.,This five-week course from the Adam Smith Centre will introduce you to environmental ethics as well as different perspectives to uncover the link between ethics and environmentalism. By the end of the course, you’ll understand how morality and ethics drive environmental activism.,Climate change and other environmental issues originate at a scientific level. We are presented with facts and data about our ecosystem, and we have the responsibility to make a difference.,However, it is our moral and ethical principles that drive the action itself. On this course, you’ll examine how moral beliefs can provoke a sense of responsibility or environmental consciousness, and how this spurs activism.,There are various schools of thought surrounding environmentalism, each with distinct ideologies and approaches to environmental solutions.,You’ll examine contrasting perspectives to analyse how ethics influences each approach. With this knowledge, you’ll also expand your own views and find an approach that aligns with your beliefs.,Examining the causes of climate change, it is clear that humanity has contributed to the state of our environment.,By exploring different ideologies such as deep ecology and eco-socialism, you’ll develop an intrinsic understanding of how humanity can repair this damage and create a more sustainable future.",15.0,"{'instructor_link': '/profiles/17485486', 'instructor_name': 'Bryan Cheang'}",Beginner,https://www.futurelearn.com/courses/environmental-ethics,Environmental Ethics,367,7.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/adam-smith-center',
 'provider_name': 'Adam Smith Center'}",4.1,Bryan Cheang,Adam Smith Center,Nature & Environment,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Describe,Identify,Discuss,Explore,Evaluate]",Futurelearn,"Environmental Ethics Environmentalism and climate change issue be typically see today through a purely scientific len . while natural science play a critical role , the reason people disagree on the climate crisis be due to deeply ethical and moral difference . ,This five - week course from the Adam Smith Centre will introduce you to environmental ethic as well as different perspective to uncover the link between ethic and environmentalism . by the end of the course , you ’ll understand how morality and ethic drive environmental activism . ,Climate change and other environmental issue originate at a scientific level . we be present with fact and datum about our ecosystem , and we have the responsibility to make a difference . ,however , it be our moral and ethical principle that drive the action itself . on this course , you ’ll examine how moral belief can provoke a sense of responsibility or environmental consciousness , and how this spur activism . ,There be various school of thought surround environmentalism , each with distinct ideology and approach to environmental solution . ,You’ll examine contrast perspective to analyse how ethic influence each approach . with this knowledge , you ’ll also expand your own view and find an approach that align with your belief . ,Examining the cause of climate change , it be clear that humanity have contribute to the state of our environment . ,By explore different ideology such as deep ecology and eco - socialism , you ’ll develop an intrinsic understanding of how humanity can repair this damage and create a more sustainable future .","environmentalism, provoke, adam, principle, future, disagree, link, align, uncover, typically, Nature & Environment, Nature & Environment, [Describe,Identify,Discuss,Explore,Evaluate]"
Business & Management,"Do you ever feel like everyone else seems to know what they’re doing? Well, you’re definitely not alone!,This course will support leaders at the every stage of their management journey. It will help you identify and address negative thought and behaviour patterns that undermine your confidence, and help you to develop your own leadership style and behaviours.,Through this course, you will be empowered to recognise negative behaviours and leadership anxiety, and provided with the tools to help overcome these hurdles as and when they arise.",6.0,"{'instructor_link': None, 'instructor_name': None}",Open,https://www.futurelearn.com/courses/overcoming-imposter-syndrome,Overcoming Imposter Syndrome: Identify the Patterns Undermining Your Confidence,"32,878",369.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/unisq',
 'provider_name': 'University of Southern Queensland'}",4.7,,University of Southern Queensland,Business & Management,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Communicate,Demonstrate,Autonomy,Judgement,Reflection]",Futurelearn,"overcome Imposter Syndrome : identify the Patterns undermine your confidence do you ever feel like everyone else seem to know what they ’re do ? well , you ’re definitely not alone!,this course will support leader at the every stage of their management journey . it will help you identify and address negative thought and behaviour pattern that undermine your confidence , and help you to develop your own leadership style and behaviour . ,Through this course , you will be empower to recognise negative behaviour and leadership anxiety , and provide with the tool to help overcome these hurdle as and when they arise .","leadership, imposter, undermine, syndrome, patterns, arise, provide, know, definitely, address, Business & Management, Business & Management, [Communicate,Demonstrate,Autonomy,Judgement,Reflection]"
Big Data & Analytics ,"Millions of people use Microsoft Excel worldwide. That’s because when its full potential is unlocked, it can drastically improve productivity and workflow.,On this three-week course, you’ll gain essential skills to help you use Excel for your personal and professional needs.,Following along with interactive activities and practical exercises, you’ll learn how to use Excel to handle and analyse data efficiently.,Starting with the basics, you’ll learn how to create workbooks and enter data before mastering the cut, copy, and paste options.,This understanding will help you start to explore more advanced Excel topics such as functions and formulas.,Delving further into workbooks, you’ll explore the page setup and print options to ensure your formatting is correct.,You’ll understand how to navigate rows, columns, and cells and start to work with sheets. You’ll learn how to add, delete, rename, and format sheets, which will be your starting point for handling data.,You’ll gain an introduction to charts and how to use graphics to enhance the charts you create.,Next, you’ll delve into pivot tables to help you quickly summarise large groups of data with ease.,By the end of the course, you’ll have the skills and confidence to start using Excel to handle and analyse data. You’ll have a solid foundation of knowledge to build on with more advanced Excel functions in the future.",,"{'instructor_link': None, 'instructor_name': None}",,https://www.futurelearn.com/courses/a-beginners-guide-to-data-handling-and-management-in-excel,A Beginner’s Guide to Data Handling and Management in Excel,,40.0,79,"{'provider_link': 'https://www.futurelearn.com/partners/packt',
 'provider_name': 'Packt'}",4.9,,Packt,Data Science,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Describe,Apply,Design,Identify,Efficient]",Futurelearn,"a Beginner ’s guide to Data Handling and Management in Excel Millions of people use Microsoft Excel worldwide . that ’ because when its full potential be unlocked , it can drastically improve productivity and workflow . ,On this three - week course , you ’ll gain essential skill to help you use Excel for your personal and professional need . ,Following along with interactive activity and practical exercise , you ’ll learn how to use Excel to handle and analyse datum efficiently . ,Starting with the basic , you ’ll learn how to create workbook and enter datum before master the cut , copy , and paste option . ,This understanding will help you start to explore more advanced Excel topic such as function and formula . ,delve far into workbook , you ’ll explore the page setup and print option to ensure your formatting be correct . ,You’ll understand how to navigate row , column , and cell and start to work with sheet . you ’ll learn how to add , delete , rename , and format sheet , which will be your starting point for handle datum . ,You’ll gain an introduction to chart and how to use graphic to enhance the chart you create . ,next , you ’ll delve into pivot table to help you quickly summarise large group of datum with ease . ,By the end of the course , you ’ll have the skill and confidence to start use Excel to handle and analyse datum . you ’ll have a solid foundation of knowledge to build on with more advanced Excel function in the future .","excel, productivity, interactive, datum, handling, learn, exercise, drastically, add, foundation, Data Science, Big Data & Analytics , [Describe,Apply,Design,Identify,Efficient]"
Big Data & Analytics ,"Addressing the three pillars in the fashion system – economic, social, and environmental – is crucial if we want to achieve sustainability.,On this three-week course, you’ll explore these pillars and learn how we can create a balance between them to work towards sustainable goals.,As an individual wearer of fashion, you’ll explore your role and responsibilities within the fashion industry and analyse the tensions within this relationship.,With this understanding, you’ll determine how you can create a more responsible relationship between you and the fashion industry.,This knowledge will also help you explore the industry on a broader scale and how we can build dynamic relationships in sustainable fashion.,You’ll finish the course by thinking about different kinds of models, and how that affects relationships within the fashion system. From active to passive, linear to circular, these models all play an important role in redesigning a sustainable fashion system, and you’ll explore exactly how this can be done.,By the end of the course, you’ll have the confidence to define your role in the fashion industry and understand how relationships affect the outcomes of sustainability goals.,Guided by the experts at Parsons School of Design, you’ll gain insider knowledge of fashion systems to help you feel empowered to tackle the challenges the industry faces today.",,"{'instructor_link': '/profiles/2353932', 'instructor_name': 'Jennifer Whitty'}",,https://www.futurelearn.com/courses/the-web-of-sustainable-fashion,The Web of Sustainable Fashion: Relationships in the Fashion Industry,,,39,"{'provider_link': 'https://www.futurelearn.com/partners/parsons-school-of-design',
 'provider_name': 'Parsons School of Design'}",,Jennifer Whitty,Parsons School of Design,Data Science,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Explore, Evaluate, Classify]",Futurelearn,"the web of sustainable fashion : relationship in the Fashion Industry address the three pillar in the fashion system – economic , social , and environmental – be crucial if we want to achieve sustainability . ,On this three - week course , you ’ll explore these pillar and learn how we can create a balance between they to work towards sustainable goal . ,As an individual wearer of fashion , you ’ll explore your role and responsibility within the fashion industry and analyse the tension within this relationship . ,With this understanding , you ’ll determine how you can create a more responsible relationship between you and the fashion industry . ,this knowledge will also help you explore the industry on a broad scale and how we can build dynamic relationship in sustainable fashion . ,You’ll finish the course by think about different kind of model , and how that affect relationship within the fashion system . from active to passive , linear to circular , these model all play an important role in redesign a sustainable fashion system , and you ’ll explore exactly how this can be do . ,By the end of the course , you ’ll have the confidence to define your role in the fashion industry and understand how relationship affect the outcome of sustainability goal . ,guide by the expert at Parsons School of Design , you ’ll gain insider knowledge of fashion system to help you feel empower to tackle the challenge the industry face today .","fashion, sustainable, linear, analyse, circular, define, address, insider, play, exactly, Data Science, Big Data & Analytics , [Explore, Evaluate, Classify]"
Language,"On this three-week course from National United University and National Yang Ming Chiao Tung University, you’ll develop your current Chinese speaking skills, learning how to discuss popular leisure activities.,Using situational videos, you’ll contextualise your knowledge and learn how to apply your improved communication skills in real-life situations.,The vocabulary you’ll encounter on this course will help enrich your understanding and engagement of life in Taiwan.,You’ll examine how to take part in common activities including travelling on the Mass Rapid Transit (MRT) in Taiwan, learning how to buy tickets and to plan your journey. You’ll gain the confidence to engage in a variety of pastimes, helping to enrich your experience whilst visiting the country.,Whether you’re interested in karaoke and TV, or you prefer hiking in the great outdoors, this course will give you the tools to ensure your social life stays busy.,You’ll gain insights into the interests of young people in Taiwan, and learn how to chat about activities from board games to snorkelling. You’ll then explore how to invite your friends along to your chosen activity.,On each week of this course, you’ll begin by examining everyday situations before focussing on a range of vocabulary and grammatical features such as connectives. This learning will take your Chinese speaking skills to the next level and improve your fluency in conversation.,By the end of this course, you’ll have enhanced your vocabulary and grammar skills, gaining particular knowledge of common leisure activities in Taiwan and beyond.",,"{'instructor_link': '/profiles/10489871', 'instructor_name': 'May Wen'}",Intermediate,https://www.futurelearn.com/courses/conversational-chinese-leisure-activities-and-daily-life,Conversational Chinese: Leisure Activities and Daily Life,631,64.0,27.99,"{'provider_link': 'https://www.futurelearn.com/partners/nycu',
 'provider_name': 'National Yang Ming Chiao Tung University'}",4.6,May Wen,National Yang Ming Chiao Tung University,Language,"[{""module_number"": None, ""module_name"": None, ""module_duration"": None}]",,"[Take, Buy, Talk, Invite]",Futurelearn,"conversational Chinese : leisure activity and Daily Life on this three - week course from National United University and National Yang Ming Chiao Tung University , you ’ll develop your current chinese speaking skill , learn how to discuss popular leisure activity . ,Using situational video , you ’ll contextualise your knowledge and learn how to apply your improved communication skill in real - life situation . ,The vocabulary you ’ll encounter on this course will help enrich your understanding and engagement of life in Taiwan . ,You’ll examine how to take part in common activity include travel on the Mass Rapid Transit ( MRT ) in Taiwan , learn how to buy ticket and to plan your journey . you ’ll gain the confidence to engage in a variety of pastime , help to enrich your experience whilst visit the country . ,Whether you ’re interested in karaoke and TV , or you prefer hike in the great outdoor , this course will give you the tool to ensure your social life stay busy . ,You’ll gain insight into the interest of young people in Taiwan , and learn how to chat about activity from board game to snorkelling . you ’ll then explore how to invite your friend along to your choose activity . ,On each week of this course , you ’ll begin by examine everyday situation before focusse on a range of vocabulary and grammatical feature such as connective . this learning will take your chinese speak skill to the next level and improve your fluency in conversation . ,By the end of this course , you ’ll have enhance your vocabulary and grammar skill , gain particular knowledge of common leisure activity in Taiwan and beyond .","leisure, conversation, yang, chiao, snorkelling, mrt, enhance, invite, stay, range, Language, Language, [Take, Buy, Talk, Invite]"
