Descriptions,Duration,Instructor_full,Level,Link,Modules,Name,NumReviews,Price,Stars,InstructorName,Categories,MasterCategories,ProviderName,Provider_full,NumEnrolled,ReviewsURL,Skills,Source,string,Keywords
"Go from no Puppet experience to writing your own Puppet modules in this quick start! We take beginners and those who have never learned Puppet before at all and jump right in to setting up a Puppet Server and agent node and creating an `nginx` module.
As we create this `nginx` module, we'll learn how to use resource types, provide operating-system-specific parameters, store data in various Hiera hierarchies, and learn some Puppet best practices.",5,"{'instructor_link': 'https://www.pluralsight.com/authors/elle-krout-14',
 'instructor_name': 'Elle Krout'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/puppet-quick-start,"[{'module_number': 0, 'module_name': ""\nLet's Get Started! "", 'module_duration': '30mins'}, {'module_number': 1, 'module_name': '\nPuppet Modules ', 'module_duration': '57mins'}, {'module_number': 2, 'module_name': '\nHiera ', 'module_duration': '35mins'}, {'module_number': 3, 'module_name': '\nMore Puppet ', 'module_duration': '162mins'}]",Puppet Quick Start,None,35,5,Elle Krout,Arts and Humanities,Arts and Humanities,,"{'provider_link': None, 'provider_name': None}",None,,"[Puppet Server,Resource Types,Hiera Hierarchies,Best Practices]",Pluralsight,"Puppet Quick Start go from no Puppet experience to write your own Puppet module in this quick start ! we take beginner and those who have never learn Puppet before at all and jump right in to set up a Puppet Server and agent node and create an ` nginx ` module . 
 as we create this ` nginx ` module , we will learn how to use resource type , provide operating - system - specific parameter , store datum in various Hiera hierarchy , and learn some Puppet good practice .","puppet, nginx, module, beginner, hiera, datum, provide, good, write, parameter, Arts and Humanities, Arts and Humanities, [Puppet Server,Resource Types,Hiera Hierarchies,Best Practices]"
"If you’ve ever wanted to play around with OpenShift or wondered what it is and how it differs from Kubernetes, then you’ve come to the right place! In this course, we’ll answer those questions as well as explore OpenShift on CodeReady Containers, which is one of three installation methods we will discuss (along with installer-provisioned and user-provisioned). CodeReady Containers allows you to run OpenShift on your laptop or desktop and is by far the easiest way to get hands-on experience with OpenShift.
We will be setting up and configuring our cluster, taking a tour of the web console, getting cozy with the CLI, and deploying our very first application stack. We will also go over the ins and outs of your OpenShift cluster on CodeReady Containers and get you moving with OpenShift.
This is one of a series of OpenShift 4 courses that are a part of the OpenShift 4 certification learning path. If you are interested in getting certified, start here with this Introduction course.",2,"{'instructor_link': 'https://www.pluralsight.com/authors/jess-hoch',
 'instructor_name': 'Jesse Hoch'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/introduction-to-openshift,"[{'module_number': 0, 'module_name': '\nIntroduction ', 'module_duration': '3mins'}, {'module_number': 1, 'module_name': '\nSupporting Courses ', 'module_duration': '2mins'}, {'module_number': 2, 'module_name': '\nWhat Is OpenShift ', 'module_duration': '15mins'}, {'module_number': 3, 'module_name': '\nInstallation and Configuration ', 'module_duration': '28mins'}, {'module_number': 4, 'module_name': '\nGetting Familiar with OpenShift ', 'module_duration': '25mins'}, {'module_number': 5, 'module_name': '\nConclusion ', 'module_duration': '1min'}]",Introduction to OpenShift,None,35,5,Jesse Hoch,Arts and Humanities,Arts and Humanities,,"{'provider_link': None, 'provider_name': None}",None,,"[OpenShift,CodeReady Containers,Web Console,CLI]",Pluralsight,"introduction to OpenShift if you ’ve ever want to play around with OpenShift or wonder what it be and how it differ from Kubernetes , then you ’ve come to the right place ! in this course , we ’ll answer those question as well as explore OpenShift on CodeReady Containers , which be one of three installation method we will discuss ( along with installer - provision and user - provision ) . CodeReady Containers allow you to run OpenShift on your laptop or desktop and be by far the easy way to get hand - on experience with OpenShift . 
 we will be set up and configure our cluster , take a tour of the web console , get cozy with the CLI , and deploy our very first application stack . we will also go over the in and out of your OpenShift cluster on CodeReady Containers and get you move with OpenShift . 
 this be one of a series of OpenShift 4 course that be a part of the OpenShift 4 certification learning path . if you be interested in getting certify , start here with this Introduction course .","openshift, kubernetes, cozy, installer, tour, interested, codeready, run, certify, hand, Arts and Humanities, Arts and Humanities, [OpenShift,CodeReady Containers,Web Console,CLI]"
"In this course, we will be learning the basics of JavaScript. We will start with some history of JavaScript and why it was created. Then we will be creating basic code that teaches some foundations for the language. Once we have that under our belt, we will look at where JavaScript can be implemented in the latest cloud technologies as well as in modern web applications.",3,"{'instructor_link': 'https://www.pluralsight.com/authors/michael-mcclaren',
 'instructor_name': 'MICHAEL-MC'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/introduction-to-javascript,"[{'module_number': 0, 'module_name': '\nIntroduction ', 'module_duration': '2mins'}, {'module_number': 1, 'module_name': '\nThe History of JavaScript ', 'module_duration': '7mins'}, {'module_number': 2, 'module_name': '\nClient-Side Scripting Basics ', 'module_duration': '65mins'}, {'module_number': 3, 'module_name': '\nMore Advanced Client-Side Scripting ', 'module_duration': '26mins'}, {'module_number': 4, 'module_name': '\nServer-Side Basics ', 'module_duration': '70mins'}, {'module_number': 5, 'module_name': '\nConclusion ', 'module_duration': '2mins'}]",Introduction to JavaScript,None,35,5,MICHAEL-MC,Arts and Humanities,Arts and Humanities,,"{'provider_link': None, 'provider_name': None}",None,,"[JavaScript,History,Cloud Tech,Web Apps]",Pluralsight,"introduction to JavaScript in this course , we will be learn the basic of JavaScript . we will start with some history of JavaScript and why it be create . then we will be create basic code that teach some foundation for the language . once we have that under our belt , we will look at where JavaScript can be implement in the late cloud technology as well as in modern web application .","javascript, cloud, teach, implement, modern, create, course, foundation, belt, look, Arts and Humanities, Arts and Humanities, [JavaScript,History,Cloud Tech,Web Apps]"
"You have learned about OpenShift and have also learned how to administer your cluster, now let's dive in how to use it to create applications and services for your developers to use to create great applications in your cluster. In this course we will dive into the deployment process and show you how to build, deploy, and manage applications and services in OpenShift 4.
This is one of a series of OpenShift 4 courses that are a part of the OpenShift 4 certification learning path. If you are interested in getting certified, this course will cover resource management, resource limits, quotas,and how to use secrets, service accounts, and different sourses when creating applications and services.",7,"{'instructor_link': 'https://www.pluralsight.com/authors/jess-hoch',
 'instructor_name': 'Jesse Hoch'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/deploying-and-managing-applications-in-openshift-4,"[{'module_number': 0, 'module_name': '\nIntroduction ', 'module_duration': '2mins'}, {'module_number': 1, 'module_name': '\nSupporting Courses ', 'module_duration': '2mins'}, {'module_number': 2, 'module_name': '\nManaging and Manipulating Images ', 'module_duration': '121mins'}, {'module_number': 3, 'module_name': '\nCreating and Managing Image Builds ', 'module_duration': '104mins'}, {'module_number': 4, 'module_name': '\nCreating and Managing Applications ', 'module_duration': '162mins'}, {'module_number': 5, 'module_name': '\nConclusion ', 'module_duration': '2mins'}]",Deploying and Managing Applications in OpenShift 4,None,35,5,Jesse Hoch,Business & Management,Business & Management,,"{'provider_link': None, 'provider_name': None}",None,,"[Cluster Admin,Resource Mgmt,Resource Limits,Quotas,Secrets]",Pluralsight,"deploy and Managing Applications in OpenShift 4 you have learn about OpenShift and have also learn how to administer your cluster , now let us dive in how to use it to create application and service for your developer to use to create great application in your cluster . in this course we will dive into the deployment process and show you how to build , deploy , and manage application and service in OpenShift 4 . 
 this be one of a series of OpenShift 4 course that be a part of the OpenShift 4 certification learning path . if you be interested in getting certify , this course will cover resource management , resource limit , quota , and how to use secret , service account , and different sourse when create application and service .","openshift, cluster, certify, administer, quota, build, interested, sourse, dive, different, Business & Management, Business & Management, [Cluster Admin,Resource Mgmt,Resource Limits,Quotas,Secrets]"
"It can be highly beneficial and practical to extend VMware services to the public cloud. And VMware Cloud on AWS offers customers the opportunity to do just that. Experiences VMware practitioners can bring their skillset to the AWS cloud. Additionally, they will be able utilize the full suite of AWS services as needed.
This course 'Introduction to VMware Cloud on AWS' will start of by first detailing what this product is and its benefits. There will be lessons on its cost, and the regions in which it can be used.
The course will walk through installing VMware Cloud on AWS, and go into detail on networking. This includes networking in the cloud, network between the cloud environment and the on-premises data center, and networking with key services in AWS.
The course will conclude with discussion on backing up the VMware Cloud on AWS environment, and planning migrations to the cloud. ",2,"{'instructor_link': 'https://www.pluralsight.com/authors/cloud-content',
 'instructor_name': 'A Cloud Guru'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/introduction-to-vmware-cloud-on-aws,"[{'module_number': 0, 'module_name': '\nIntroduction ', 'module_duration': '6mins'}, {'module_number': 1, 'module_name': '\nExploring the VMWare Cloud on AWS Solution ', 'module_duration': '43mins'}, {'module_number': 2, 'module_name': '\nNetworking for Your VMWare Cloud on AWS Solution ', 'module_duration': '38mins'}, {'module_number': 3, 'module_name': '\nProtecting Your Solution with Backup and Disaster Recovery ', 'module_duration': '15mins'}, {'module_number': 4, 'module_name': '\nMigrating to VMWare Cloud on AWS ', 'module_duration': '12mins'}, {'module_number': 5, 'module_name': '\nConclusion ', 'module_duration': '2mins'}]",Introduction to VMware Cloud on AWS,None,35,5,A Cloud Guru,Information Technology,Information Technology,,"{'provider_link': None, 'provider_name': None}",None,,"[VMware Cloud,AWS Services,Networking,Backup,Migrations]",Pluralsight,"introduction to VMware Cloud on AWS it can be highly beneficial and practical to extend VMware service to the public cloud . and VMware Cloud on AWS offer customer the opportunity to do just that . Experiences VMware practitioner can bring their skillset to the AWS cloud . additionally , they will be able utilize the full suite of AWS service as need . 
 this course ' introduction to VMware Cloud on AWS ' will start of by first detail what this product be and its benefit . there will be lesson on its cost , and the region in which it can be use . 
 the course will walk through instal VMware Cloud on AWS , and go into detail on networking . this include network in the cloud , network between the cloud environment and the on - premise datum center , and network with key service in AWS . 
 the course will conclude with discussion on back up the VMware Cloud on AWS environment , and plan migration to the cloud .","vmware, aws, lesson, migration, practitioner, cost, additionally, center, conclude, walk, Information Technology, Information Technology, [VMware Cloud,AWS Services,Networking,Backup,Migrations]"
"Moving to the cloud has many advantages, however, it can also be easy to run into unwelcome, runaway costs! This course arms you with the knowledge needed to control, access, view, and optimize your billing accounts and costs.
To get the full value out of this course, it is highly recommended that have familiarity in navigating the GCP web console, and with creating and working on projects.",0,"{'instructor_link': 'https://www.pluralsight.com/authors/matthew-ulasien',
 'instructor_name': 'Matthew Ulasien'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/cost-control-on-gcp,"[{'module_number': 0, 'module_name': '\nGetting Started ', 'module_duration': '5mins'}, {'module_number': 1, 'module_name': '\nManaging Billing Access ', 'module_duration': '13mins'}, {'module_number': 2, 'module_name': '\nCost Visibility and Analysis ', 'module_duration': '24mins'}, {'module_number': 3, 'module_name': '\nReducing Costs on GCP ', 'module_duration': '11mins'}, {'module_number': 4, 'module_name': '\nWrapping Up ', 'module_duration': '1min'}]",Cost Control on GCP,None,35,5,Matthew Ulasien,Uncategorized,Uncategorized,,"{'provider_link': None, 'provider_name': None}",None,,"[GCP Console,Billing Accounts,Cost Optimization]",Pluralsight,"cost Control on GCP Moving to the cloud have many advantage , however , it can also be easy to run into unwelcome , runaway cost ! this course arm you with the knowledge need to control , access , view , and optimize your billing account and cost . 
 to get the full value out of this course , it be highly recommend that have familiarity in navigate the GCP web console , and with create and work on project .","gcp, billing, cost, optimize, familiarity, highly, navigate, need, arm, runaway, Uncategorized, Uncategorized, [GCP Console,Billing Accounts,Cost Optimization]"
"This course prepares students who are already familiar with core Azure services and Azure and SQL database skills used by Azure Database Administrators.
An Azure Database Administrator is responsible for the management, availability, security, performance monitoring, and optimization of modern relational database solutions. They also assist Azure Data Engineers in managing operational aspects of a data platform solution. Azure Database Administrators are familiar with:
- Deploying SQL database solutions within Azure
- Azure SQL Server, database, and query architecture
- Basic usage of Transact-SQL for administrative tasks
- Securing Azure SQL resources and data
- Interconnecting Azure SQL resources with other Azure services
- Monitoring and optimizing Azure SQL Database performance
- Maintaining business continuity for Azure SQL resources
- Processes for migrating on-premises SQL Server databases to Azure
- Other options for managing relational data in Azure
This course also prepares exam candidates to pass the DP-300: Administering Relational Databases on Microsoft Azure exam to attain the Azure Database Administrator Associate certification. Candidates for the exam are presumed to be database administrators and data management specialists that manage on-premises and cloud relational databases built on top of Microsoft SQL Server and Microsoft Azure data services.
",0,"{'instructor_link': 'https://www.pluralsight.com/authors/cloud-content',
 'instructor_name': 'A Cloud Guru'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/azure-database-administrator-associate,"[{'module_number': 0, 'module_name': '\nIntroduction ', 'module_duration': '26mins'}, {'module_number': 1, 'module_name': '\nDeploying Azure SQL Databases ', 'module_duration': '329mins'}, {'module_number': 2, 'module_name': '\nSecuring Azure SQL Databases ', 'module_duration': '337mins'}, {'module_number': 3, 'module_name': '\nImplementing HA/DR for Azure SQL ', 'module_duration': '116mins'}, {'module_number': 4, 'module_name': '\nMigrating to Azure SQL ', 'module_duration': '57mins'}, {'module_number': 5, 'module_name': '\nMonitoring and Maintaining Azure SQL Database Performance ', 'module_duration': '432mins'}, {'module_number': 6, 'module_name': '\nConclusion ', 'module_duration': '161mins'}]",Azure Database Administrator Associate,None,35,5,A Cloud Guru,Business & Management,Business & Management,,"{'provider_link': None, 'provider_name': None}",None,,"[Azure Services,SQL Server,Transact-SQL,Security,Performance,BC]",Pluralsight,"Azure Database Administrator Associate this course prepare student who be already familiar with core Azure service and Azure and SQL database skill use by Azure Database Administrators . 
 an Azure Database Administrator be responsible for the management , availability , security , performance monitoring , and optimization of modern relational database solution . they also assist Azure Data Engineers in manage operational aspect of a data platform solution . Azure Database Administrators be familiar with : 
 - deploy SQL database solution within Azure 
 - azure SQL Server , database , and query architecture 
 - basic usage of Transact - SQL for administrative task 
 - Securing azure SQL resource and datum 
 - interconnect Azure SQL resource with other Azure service 
 - monitoring and optimize Azure SQL Database performance 
 - maintain business continuity for Azure SQL resource 
 - Processes for migrate on - premise SQL Server database to azure 
 - other option for manage relational datum in Azure 
 this course also prepare exam candidate to pass the DP-300 : Administering Relational Databases on Microsoft Azure exam to attain the Azure Database Administrator Associate certification . candidate for the exam be presume to be database administrator and datum management specialist that manage on - premise and cloud relational database build on top of Microsoft SQL Server and Microsoft Azure datum service . 
","azure, administrator, relational, prepare, core, monitoring, migrate, optimize, 300, continuity, Business & Management, Business & Management, [Azure Services,SQL Server,Transact-SQL,Security,Performance,BC]"
"In this course, we take a deep dive into Helm. Helm is a package management solution for Kubernetes. We build on what you already know about Kubernetes by showing how to utilize packages to manage applications and infrastructure in your Kubernetes cluster. Additionally, we discuss creating and using Helm charts.
",6,"{'instructor_link': 'https://www.pluralsight.com/authors/michael-mcclaren',
 'instructor_name': 'MICHAEL-MC'}",Advanced,https://www.pluralsight.com/cloud-guru/courses/helm-deep-dive-v3,"[{'module_number': 0, 'module_name': '\nIntroduction ', 'module_duration': '2mins'}, {'module_number': 1, 'module_name': '\nWhat Is Helm and Why Do I Need It? ', 'module_duration': '17mins'}, {'module_number': 2, 'module_name': '\nGetting Familiar with Helm ', 'module_duration': '62mins'}, {'module_number': 3, 'module_name': '\nHelm Charts ', 'module_duration': '127mins'}, {'module_number': 4, 'module_name': '\nMore Advanced Charts ', 'module_duration': '74mins'}, {'module_number': 5, 'module_name': '\nAdministration and Plugins ', 'module_duration': '49mins'}, {'module_number': 6, 'module_name': '\nConclusion ', 'module_duration': '4mins'}]",Helm Deep Dive V3,None,35,5,MICHAEL-MC,Business & Management,Business & Management,,"{'provider_link': None, 'provider_name': None}",None,,"[Kubernetes,Package Mgmt,Helm Charts]",Pluralsight,"Helm Deep Dive v3 in this course , we take a deep dive into Helm . Helm be a package management solution for Kubernetes . we build on what you already know about Kubernetes by show how to utilize package to manage application and infrastructure in your Kubernetes cluster . additionally , we discuss create and use Helm chart . 
","kubernetes, helm, cluster, package, chart, management, dive, v3, additionally, know, Business & Management, Business & Management, [Kubernetes,Package Mgmt,Helm Charts]"
"Do you have a taste for OpenShift 4 and want to know more? In this course we will dive into OpenShift 4's authentication process. We will take a closer look at authentication and what makes up the process. We will dive into subjects like user and group management, granting permissions using role-based access control (RBAC) to projects and resources, as well as resource management.
This is one of a series of OpenShift 4 courses that are a part of the OpenShift 4 certification learning path. This course will cover the ""Manage users and policies"" and the ""Control access to resources"" objectives of the exam.",3,"{'instructor_link': 'https://www.pluralsight.com/authors/jess-hoch',
 'instructor_name': 'Jesse Hoch'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/openshift-4-authentication-and-user-management,"[{'module_number': 0, 'module_name': '\nIntroduction ', 'module_duration': '3mins'}, {'module_number': 1, 'module_name': '\nSupporting Courses ', 'module_duration': '2mins'}, {'module_number': 2, 'module_name': '\nAuthentication and Identity Providers ', 'module_duration': '30mins'}, {'module_number': 3, 'module_name': '\nUser and Group Management ', 'module_duration': '62mins'}, {'module_number': 4, 'module_name': '\nResource Access Control ', 'module_duration': '49mins'}, {'module_number': 5, 'module_name': '\nConclusion ', 'module_duration': '2mins'}]",OpenShift 4 Authentication and User Management,None,35,5,Jesse Hoch,Business & Management,Business & Management,,"{'provider_link': None, 'provider_name': None}",None,,"[User,Group,RBAC,Resource]",Pluralsight,"OpenShift 4 Authentication and User Management do you have a taste for OpenShift 4 and want to know more ? in this course we will dive into OpenShift 4 's authentication process . we will take a close look at authentication and what make up the process . we will dive into subject like user and group management , grant permission use role - base access control ( RBAC ) to project and resource , as well as resource management . 
 this be one of a series of OpenShift 4 course that be a part of the OpenShift 4 certification learning path . this course will cover the "" Manage user and policy "" and the "" control access to resource "" objective of the exam .","authentication, openshift, rbac, manage, certification, resource, series, objective, course, dive, Business & Management, Business & Management, [User,Group,RBAC,Resource]"
"I’m pretty sure you’d agree with me if I said the world runs on data — especially the digital world — and the amount of data is ever-increasing. One way to really get your head around all that information is through data pipelines. Data pipelines pull in the data from a variety of sources, whip it into shape, and then toss it out to other services for storage, analysis, and/or visualization. As you’ll discover in this course, Google Cloud Dataflow is a best-in-class fully managed data processing service, ideal for all your data pipeline needs. Join me as we get hands-on with Dataflow.",6,"{'instructor_link': 'https://www.pluralsight.com/authors/joseph-lowery',
 'instructor_name': 'Joseph Lowery'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/hands-on-with-dataflow,"[{'module_number': 0, 'module_name': '\nIntroduction ', 'module_duration': '4mins'}, {'module_number': 1, 'module_name': '\nUnderstanding Dataflow ', 'module_duration': '55mins'}, {'module_number': 2, 'module_name': '\nPowering Up Your Dataflow Pipeline ', 'module_duration': '37mins'}, {'module_number': 3, 'module_name': '\nEmploying Advanced Dataflow Features ', 'module_duration': '24mins'}, {'module_number': 4, 'module_name': '\nIntegrating with Google Cloud Services ', 'module_duration': '220mins'}, {'module_number': 5, 'module_name': '\nConclusion ', 'module_duration': '1min'}]",Hands-On with Dataflow,None,35,5,Joseph Lowery,Uncategorized,Uncategorized,,"{'provider_link': None, 'provider_name': None}",None,,"[Data,Pipeline,Google,Cloud]",Pluralsight,"hand - on with Dataflow I ’m pretty sure you ’d agree with I if I say the world run on datum — especially the digital world — and the amount of datum be ever - increase . one way to really get your head around all that information be through datum pipeline . datum pipeline pull in the datum from a variety of source , whip it into shape , and then toss it out to other service for storage , analysis , and/or visualization . as you ’ll discover in this course , Google Cloud Dataflow be a good - in - class fully manage datum processing service , ideal for all your datum pipeline need . join I as we get hand - on with Dataflow .","dataflow, cloud, datum, manage, increase, discover, especially, sure, source, toss, Uncategorized, Uncategorized, [Data,Pipeline,Google,Cloud]"
"CompTIA introduced their new Linux+ certification in April of 2019 and we'll help you prepare to succeed in taking it.
This course is intended for the IT Professional who uses Linux every day in their personal and professional lives. You only have to pass a single exam now, but keep in mind you will no longer get the LPI 2-for-1 certification as a result.
This certification preparation course is designed to cover job-focused Linux foundational skills. The exam covers tasks that are associated with all major distributions of Linux and lays the foundation for more advanced vendor or distribution specific knowledge.",6,"{'instructor_link': 'https://www.pluralsight.com/authors/michael-mcclaren',
 'instructor_name': 'MICHAEL-MC'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/comptia-linux-xk0-004-certification-exam,"[{'module_number': 0, 'module_name': '\nAbout the Course ', 'module_duration': '11mins'}, {'module_number': 1, 'module_name': '\nLinux Boot Process Concepts ', 'module_duration': '43mins'}, {'module_number': 2, 'module_name': '\nInstall, Configure, and Monitor Kernel Modules ', 'module_duration': '22mins'}, {'module_number': 3, 'module_name': '\nConfigure and Verify Network Connection Parameters ', 'module_duration': '119mins'}, {'module_number': 4, 'module_name': '\nManage Storage in a Linux Environment ', 'module_duration': '167mins'}, {'module_number': 5, 'module_name': '\nLocalization ', 'module_duration': '17mins'}, {'module_number': 6, 'module_name': '\nConduct Software Installations, Configurations, Updates, and Removals ', 'module_duration': '174mins'}, {'module_number': 7, 'module_name': '\nLinux Graphical User Interfaces ', 'module_duration': '34mins'}, {'module_number': 8, 'module_name': '\nUnderstanding Devices in Linux ', 'module_duration': '107mins'}, {'module_number': 9, 'module_name': '\nManage Users and Groups ', 'module_duration': '302mins'}, {'module_number': 10, 'module_name': '\nAutomate and Schedule Jobs ', 'module_duration': '115mins'}, {'module_number': 11, 'module_name': '\nCreate, Modify, and Redirect Files ', 'module_duration': '431mins'}, {'module_number': 12, 'module_name': '\nManage Services ', 'module_duration': '220mins'}, {'module_number': 13, 'module_name': '\nSummarize and Explain Server Roles ', 'module_duration': '23mins'}, {'module_number': 14, 'module_name': '\nFile and Directory Permissions ', 'module_duration': '162mins'}, {'module_number': 15, 'module_name': '\nContext-Based Permissions ', 'module_duration': '148mins'}, {'module_number': 16, 'module_name': '\nPrivilege Escalation ', 'module_duration': '81mins'}, {'module_number': 17, 'module_name': '\nAccess and Authentication Configuration ', 'module_duration': '15mins'}, {'module_number': 18, 'module_name': '\nSecure Shell (SSH) ', 'module_duration': '76mins'}, {'module_number': 19, 'module_name': '\nTerminal Types ', 'module_duration': '5mins'}, {'module_number': 20, 'module_name': '\nPublic Key Infrastructure (PKI) ', 'module_duration': '6mins'}, {'module_number': 21, 'module_name': '\nVirtual Private Networking (VPN) ', 'module_duration': '4mins'}, {'module_number': 22, 'module_name': '\nSecurity Best Practices and System Hardening ', 'module_duration': '84mins'}, {'module_number': 23, 'module_name': '\nLogging Services ', 'module_duration': '70mins'}, {'module_number': 24, 'module_name': '\nFirewalls in Linux ', 'module_duration': '126mins'}, {'module_number': 25, 'module_name': '\nBackup, Restore, and Compress Files ', 'module_duration': '87mins'}, {'module_number': 26, 'module_name': '\nAnalyze System Properties ', 'module_duration': '110mins'}, {'module_number': 27, 'module_name': '\nAnalyze System Processes ', 'module_duration': '14mins'}, {'module_number': 28, 'module_name': '\nTroubleshoot User Issues ', 'module_duration': '29mins'}, {'module_number': 29, 'module_name': '\nTroubleshoot Application and Hardware Issues ', 'module_duration': '24mins'}, {'module_number': 30, 'module_name': '\nDeploy and Execute Basic Bash Scripts ', 'module_duration': '32mins'}, {'module_number': 31, 'module_name': '\nVersion Control Using Git ', 'module_duration': '226mins'}, {'module_number': 32, 'module_name': '\nOrchestration Processes and Concepts ', 'module_duration': '15mins'}, {'module_number': 33, 'module_name': '\nThe Exam ', 'module_duration': '90mins'}, {'module_number': 34, 'module_name': '\nNext Steps ', 'module_duration': '2mins'}]",CompTIA Linux+ XK0-004 Certification Exam,None,35,5,MICHAEL-MC,Uncategorized,Uncategorized,,"{'provider_link': None, 'provider_name': None}",None,,"[Linux,CompTIA,LPI,Foundation]",Pluralsight,"comptia Linux+ XK0 - 004 Certification Exam CompTIA introduce their new Linux+ certification in April of 2019 and we will help you prepare to succeed in take it . 
 this course be intend for the IT Professional who use Linux every day in their personal and professional life . you only have to pass a single exam now , but keep in mind you will no long get the LPI 2 - for-1 certification as a result . 
 this certification preparation course be design to cover job - focus Linux foundational skill . the exam cover task that be associate with all major distribution of Linux and lay the foundation for more advanced vendor or distribution specific knowledge .","comptia, certification, linux, lpi, xk0, course, lay, distribution, introduce, day, Uncategorized, Uncategorized, [Linux,CompTIA,LPI,Foundation]"
"This course will focus on the exam preparation concepts that you need to know to take and pass the Google Cloud Professional Network Engineer exam. We will be reviewing the previous GCP Network Engineer course modules, with a laser focus on what will be on the exam, which will conclude with a preparatory practice exam.",0,"{'instructor_link': 'https://www.pluralsight.com/authors/matthew-ulasien',
 'instructor_name': 'Matthew Ulasien'}",Advanced,https://www.pluralsight.com/cloud-guru/courses/google-certified-professional-cloud-network-engineer-exam-prep-la-part-5,"[{'module_number': 0, 'module_name': '\nCourse Introduction ', 'module_duration': '1min'}, {'module_number': 1, 'module_name': '\nSection Reviews ', 'module_duration': '43mins'}, {'module_number': 2, 'module_name': '\nCourse Conclusion and Practice Exam ', 'module_duration': '3mins'}]",Google Certified Professional Cloud Network Engineer Exam Prep (LA Part 5),None,35,5,Matthew Ulasien,Uncategorized,Uncategorized,,"{'provider_link': None, 'provider_name': None}",None,,"[GCP,Network,Exam,Prepare]",Pluralsight,"Google Certified Professional Cloud Network Engineer Exam Prep ( LA Part 5 ) this course will focus on the exam preparation concept that you need to know to take and pass the Google Cloud Professional Network Engineer exam . we will be review the previous GCP Network Engineer course module , with a laser focus on what will be on the exam , which will conclude with a preparatory practice exam .","gcp, engineer, network, la, preparatory, practice, course, conclude, laser, module, Uncategorized, Uncategorized, [GCP,Network,Exam,Prepare]"
"Learning Vagrant introduces students to Vagrant, a virtual machine environment management tool. This course aims to provide even beginners both basic virtualization skills and knowledge and provide a working knowledge of Vagrant and its underlying default provider, VirtualBox. From our first `vagrant up`, we'll create reusable, customizable, and consistent development and test environments, learning how to sync files between host and guest, the network between virtual machines, and provision machines via configuration management tools, and more. We'll also explore using Vagrant as a container management platform through a series of related hands-on labs.
When finished, the learner will be able to create Vagrant environments using a number of providers, provisions, and Vagrant features. They will also have the ability to apply core Vagrant skills to any additional plugins, provisioners, or providers they may need to use outside of this course.
https://interactive.linuxacademy.com/diagrams/LearningVagrant.html",10,"{'instructor_link': 'https://www.pluralsight.com/authors/elle-krout-14',
 'instructor_name': 'Elle Krout'}",Beginner,https://www.pluralsight.com/cloud-guru/courses/learning-vagrant,"[{'module_number': 0, 'module_name': '\nGetting Started ', 'module_duration': '4mins'}, {'module_number': 1, 'module_name': '\nConcepts ', 'module_duration': '16mins'}, {'module_number': 2, 'module_name': '\nInstallation ', 'module_duration': '64mins'}, {'module_number': 3, 'module_name': '\nPlugins ', 'module_duration': '48mins'}, {'module_number': 4, 'module_name': '\nThe Basics ', 'module_duration': '112mins'}, {'module_number': 5, 'module_name': '\nSyncing Files ', 'module_duration': '64mins'}, {'module_number': 6, 'module_name': '\nNetworking ', 'module_duration': '78mins'}, {'module_number': 7, 'module_name': '\nProvisioning ', 'module_duration': '120mins'}, {'module_number': 8, 'module_name': '\nBoxes ', 'module_duration': '62mins'}, {'module_number': 9, 'module_name': '\nShare ', 'module_duration': '15mins'}, {'module_number': 10, 'module_name': '\nAdvanced Vagrant ', 'module_duration': '7mins'}, {'module_number': 11, 'module_name': '\nFinal Steps ', 'module_duration': '2mins'}]",Learning Vagrant,None,35,5,Elle Krout,Business & Management,Business & Management,,"{'provider_link': None, 'provider_name': None}",None,,"[Vagrant,VirtualBox,Providers,Provision]",Pluralsight,"learn Vagrant Learning Vagrant introduce student to Vagrant , a virtual machine environment management tool . this course aim to provide even beginner both basic virtualization skill and knowledge and provide a work knowledge of Vagrant and its underlie default provider , VirtualBox . from our first ` vagrant up ` , we will create reusable , customizable , and consistent development and test environment , learn how to sync file between host and guest , the network between virtual machine , and provision machine via configuration management tool , and more . we will also explore use Vagrant as a container management platform through a series of relate hand - on lab . 
 when finish , the learner will be able to create vagrant environment use a number of provider , provision , and vagrant feature . they will also have the ability to apply core vagrant skill to any additional plugin , provisioner , or provider they may need to use outside of this course . 
 https://interactive.linuxacademy.com/diagrams/learningvagrant.html","learningvagrant, virtualbox, provisioner, management, core, apply, outside, html, additional, consistent, Business & Management, Business & Management, [Vagrant,VirtualBox,Providers,Provision]"
